18:21:20.282 452 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
18:21:21.284 452 zb_mac_transport_linux_pipes.c:548	delta 1002 (65)
18:21:21.284 517 zb_mac_transport_linux_pipes.c:569	timer 517, delta_rest 0
18:21:21.284 517 zb_mac_transport_linux_pipes.c:590	timeout
18:21:21.284 517 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:21.284 517 zb_scheduler.c:145	0x564fd561c748 calling alarm cb 0x564fd540bc4e param 0
18:21:21.284 517 mac_scan.c:208	>> zb_mlme_scan_step
18:21:21.284 517 mac_scan.c:312	beacon found 0
18:21:21.284 517 zb_scheduler.c:254	0x564fd561c470 scheduled cb 0x564fd53ebbcb param 3 (in_b 0)
18:21:21.284 517 mac_scan.c:338	<< zb_mlme_scan_step
18:21:21.284 517 zb_scheduler.c:105	cb_q written 1, read_i 7, write_i 8
18:21:21.284 517 zb_scheduler.c:115	0x564fd561c470 calling cb 0x564fd53ebbcb param 3 in_b 0 len 0
18:21:21.284 517 nwk_discovery.c:354	>>zb_mlme_scan_confirm 3
18:21:21.284 517 nwk_discovery.c:356	nwk state 3
18:21:21.284 517 nwk_cr_formation.c:204	>>sel_ch buf 0x564fd561cb90
18:21:21.284 517 nwk_cr_formation.c:235	cur ch 11 ch_nw 255 en_lev 255
18:21:21.284 517 nwk_cr_formation.c:237	i pan_cnt 11 en_lev 0
18:21:21.284 517 nwk_cr_formation.c:266	sel ch 11 # nw 0 en_lev 0
18:21:21.284 517 nwk_cr_formation.c:296	sel pan_id 33529
18:21:21.284 517 nwk_address_assign.c:71	>>zb_nwk_daa_calc_cskip depth 0
18:21:21.284 517 nwk_address_assign.c:92	<<zb_nwk_daa_calc_cskip 2721
18:21:21.284 517 nwk_cr_formation.c:382	ch 11
18:21:21.284 517 zb_scheduler.c:254	0x564fd561c480 scheduled cb 0x564fd53e45eb param 3 (in_b 0)
18:21:21.284 517 nwk_cr_formation.c:311	<<sel_ch
18:21:21.284 517 nwk_discovery.c:495	<<zb_mlme_scan_confirm
18:21:21.284 517 zb_scheduler.c:105	cb_q written 1, read_i 8, write_i 9
18:21:21.284 517 zb_scheduler.c:115	0x564fd561c480 calling cb 0x564fd53e45eb param 3 in_b 0 len 0
18:21:21.284 517 mac_routines.c:166	+zb_mlme_start_request 3
18:21:21.284 517 mac_routines.c:114	+zb_mac_process_mlme_start, state 0
18:21:21.284 517 mac_cr_coordinator.c:427	>>zb_mac_update_superframe_and_pib
18:21:21.285 517 mac_cr_coordinator.c:444	set pan id 0x82f9 channel 0xb
18:21:21.285 517 mac_cr_coordinator.c:449	<<zb_mac_update_superframe_and_pib
18:21:21.285 517 zb_scheduler.c:254	0x564fd561c490 scheduled cb 0x564fd53ec283 param 3 (in_b 0)
18:21:21.285 517 mac_routines.c:155	<< zb_mac_process_mlme_start
18:21:21.285 517 mac_routines.c:198	<< zb_mlme_start_request
18:21:21.285 517 zb_scheduler.c:105	cb_q written 1, read_i 9, write_i 10
18:21:21.285 517 zb_scheduler.c:115	0x564fd561c490 calling cb 0x564fd53ec283 param 3 in_b 0 len 0
18:21:21.285 517 nwk_formation.c:69	>>mlme_start_conf 3
18:21:21.285 517 nwk_formation.c:71	state 4
18:21:21.285 517 nwk_neighbor.c:167	>>exneighbor_stop
18:21:21.285 517 nwk_neighbor.c:298	restore base n size 32
18:21:21.285 517 nwk_neighbor.c:299	base_neighbor_used 0
18:21:21.285 517 nwk_neighbor.c:301	<<exneighbor_stop
18:21:21.285 517 nwk_cr_formation.c:410	>>update_beacon_pl
18:21:21.285 517 nwk_cr_formation.c:436	new update_id 0
18:21:21.285 517 nwk_cr_formation.c:440	<<update_beacon_pl
18:21:21.285 517 zb_scheduler.c:254	0x564fd561c4a0 scheduled cb 0x564fd53ff562 param 3 (in_b 0)
18:21:21.285 517 nwk_formation.c:126	<<mlme_start_conf
18:21:21.285 517 zb_scheduler.c:105	cb_q written 1, read_i 10, write_i 11
18:21:21.285 517 zb_scheduler.c:115	0x564fd561c4a0 calling cb 0x564fd53ff562 param 3 in_b 0 len 0
18:21:21.285 517 zdo_app.c:251	formation conf st 0
18:21:21.285 517 zdo_secur.c:176	TC init
